,latitude,longitude
0,42.0153622,-93.6113081
1,41.9540418,-91.7165443
2,41.6300524,-93.697155
3,42.5111465,-90.7216562
0,39.1858991,-96.5744757
1,39.09835,-94.6475223
2,38.9431751,-95.2421097
3,37.6765046,-97.4279526
0,36.960771,-86.4698371
1,38.1726847,-85.8257634
2,38.2168924,-85.5867816
3,37.0753181,-88.695997
0,30.4247458,-91.0523663
1,30.3560252,-91.109759
2,30.4548438,-91.0810312
3,32.5287434,-93.7194149
4,30.5444822,-91.0265273
5,30.2326174,-90.9066045
6,29.9022749,-90.0299987
7,29.6074419,-90.7539122
8,30.1975448,-92.0731842
9,30.2020554,-93.2191124
10,30.0044807,-90.1882823
11,32.5447178,-92.0765942
12,29.9880321,-91.8247097
13,30.0038243,-90.0389072
14,29.9770267,-90.0965052
15,32.5423098,-92.6294533
16,32.4791005,-93.7140717
17,32.4476359,-93.8664052
18,29.8116107,-90.8155261
19,32.5165014,-92.1838718
20,30.6494665,-91.1417859
0,39.3551287,-76.703057
1,38.9461961,-76.7361744
2,38.7837674,-76.8977813
3,38.8462328,-76.8852925
4,39.1312484,-76.7405509
5,39.419031,-77.4450312
6,39.1879068,-77.1849467
7,39.1813734,-77.2718435
8,39.1925357,-76.6142192
9,39.6335819,-77.7625086
10,38.9655259,-76.9533347
11,39.0904461,-76.8567279
13,39.0963869,-77.1924134
14,39.0743479,-77.1369549
15,39.0780752,-77.0797012
17,38.6189872,-76.9357024
0,42.3722714,-71.0381694
1,42.4076271,-71.0845226
2,42.1657869,-71.044761
3,42.2754174,-71.114951
4,42.2475536,-71.8098331
0,42.4460342,-83.1207922
1,42.4632572,-82.9601535
2,42.3828963,-83.3271449
3,42.4740453,-83.2401219
4,42.5026724,-83.0848096
0,45.0585906,-93.3162089
0,32.325775,-90.302424
2,31.3252608,-89.3390367
3,32.2930814,-90.2274368
4,32.3115575,-90.177558
5,34.9604213,-89.8564392
6,34.3658774,-89.5510091
7,32.4198696,-90.132738
8,33.4488272,-88.8400099
9,34.2556453,-88.7469004
0,38.4446438,-90.3746663
1,39.0271701,-94.257153
2,38.9473088,-92.2968254
3,38.7676688,-90.2822096
4,38.7903977,-90.3438391
